latlong unique,lat,lon,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,,,
-30.1703115.0119,-30.1703,115.012,0.06,0.032,1.394,8.665,5.986,4726.842,19.804,456.619,428.5238037,,,
-30.1682115.1057,-30.1682,115.106,0.055,0.014,1.328,6.7,4,4726.842,19.948,456.314,427.1095276,,,
-30.1646115.0075,-30.1646,115.008,0.064,0.033,1.532,9.31,6.15,4726.842,19.959,445.862,418.3666687,,,
-30.1643115.1226,-30.1643,115.123,0.06,0.015,1.277,6.759,3.493,4726.842,20.086,453.657,423.519043,,,
-30.16115.1206,-30.16,115.121,0.066,0.015,1.361,6.173,3.493,4726.842,20.086,453.657,423.519043,,,
-30.1432115.0621,-30.1432,115.062,0.067,0.015,1.448,7.497,7.48,4726.842,20.233,448.762,420.3999939,,,
-30.1296115.1075,-30.1296,115.108,0.071,0.016,1.51,6.905,4,4726.842,20.086,453.657,423.519043,,,
-30.1267115.1063,-30.1267,115.106,0.06,0.015,1.336,6.402,3.657,4726.842,20.086,453.657,423.519043,,,
-30.1151115.0065,-30.1151,115.007,0.07,0.019,1.448,9.447,5.657,4726.842,20.064,443.452,414.0618896,,,
-30.1067114.9966,-30.1067,114.997,0.053,0.023,0.966,12.196,6.65,8016.579,19.767,446.624,416.9619141,,,
-30.098115.058,-30.098,115.058,0.065,0.015,1.361,7.632,7.15,4726.842,20.324,439.89,411.176178,,,
-30.0939114.9901,-30.0939,114.99,0.068,0.018,1.114,10.142,6.657,8016.579,19.767,446.624,416.9619141,,,
-30.0905114.9986,-30.0905,114.999,0.076,0.022,1.759,9.281,6.986,8016.579,19.767,446.624,416.9619141,,,
-30.0826115.0525,-30.0826,115.053,0.068,0.014,1.307,6.392,6.643,4726.842,20.339,442.657,411.4857178,,,
-30.0731114.9825,-30.0731,114.983,0.069,0.021,1.739,9.935,7.15,8016.579,19.829,437.481,407.2904663,,,
-30.063115.012,-30.063,115.012,0.081,0.02,1.519,9.323,5.986,4726.842,20.198,441.329,410.5952454,,,
-30.0598114.983,-30.0598,114.983,0.065,0.018,1.512,8.243,6.986,8016.579,19.829,437.481,407.2904663,,,
-30.0528119.835,-30.0528,119.835,0.032,0.012,0.701,6.791,4.643,2474.263,18.884,244.505,232.3000031,,,
-30.0453114.9628,-30.0453,114.963,0.059,0.026,1.185,7.257,7.15,8016.579,19.829,437.481,407.2904663,,,
-30.0354115.0055,-30.0354,115.006,0.061,0.017,1.507,13.966,6.15,4726.842,20.161,430.281,398.7666626,,,
-30.0276115.0389,-30.0276,115.039,0.069,0.016,1.555,8.283,7.643,4726.842,20.161,430.281,398.7666626,,,
-30.0194119.6789,-30.0194,119.679,0.028,0.013,0.673,6.255,7.3,2474.263,19.238,234.595,222.8952332,,,
-30.0064119.7886,-30.0064,119.789,0.032,0.014,0.843,9.867,5.807,2474.263,19.177,234.186,222.4952393,,,
-29.9958119.6267,-29.9958,119.627,0.036,0.016,0.876,8.105,11.423,2315,19.145,242.31,230.2476196,,,
-29.9511119.3983,-29.9511,119.398,0.032,0.011,0.541,7.12,6.3,2315,18.772,238.662,226.7476196,,,
-29.905121.1189,-29.905,121.119,0.033,0.014,0.742,6.674,4.807,2250.526,19.405,252.743,240.180954,,,
-29.7614121.0628,-29.7614,121.063,0.034,0.016,0.632,8.415,6.3,2250.526,20.009,266.029,252.7476196,,,
-29.7483119.4758,-29.7483,119.476,0.033,0.013,0.658,6.655,5.807,2315,19.365,249.757,237.3285675,,,
-29.7231119.4892,-29.7231,119.489,0.052,0.015,0.595,8.899,6.314,2315,19.365,249.757,237.3285675,,,
-29.6744119.3661,-29.6744,119.366,0.036,0.014,0.564,7.736,7.3,2315,19.507,254.986,242.2476196,,,
-29.4953121.2522,-29.4953,121.252,0.029,0.018,0.71,7.39,6.807,2250.526,20.282,266.348,253.0809479,,,
-29.2428121.2561,-29.2428,121.256,0.032,0.017,0.609,7.731,6.136,2250.526,20.303,227.71,216.3238068,,,
-29.2422121.2522,-29.2422,121.252,0.027,0.014,0.638,8.748,6.807,2250.526,20.303,227.71,216.3238068,,,
-29.015118.8908,-29.015,118.891,0.03,0.012,0.601,6.262,6.136,2474.263,19.858,255.229,242.519043,,,
-28.7642121.9683,-28.7642,121.968,0.033,0.018,0.625,7.404,7.3,1470.316,20.687,225.067,213.7904816,,,
-28.7094118.6206,-28.7094,118.621,0.035,0.014,0.539,7.093,6.793,1614.474,19.916,253.905,241.3095245,,,
-28.64153.34,-28.64,153.34,0.188,0.025,4.463,8.097,15.408,16954.632,19.304,1515.967,1126.728516,,,
-28.63153.36,-28.63,153.36,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.728516,,,
-28.5653120.4822,-28.5653,120.482,0.027,0.018,0.615,6.48,7.3,1470.316,20.759,221.519,210.4714355,,,
-28.5319115.2383,-28.5319,115.238,0.038,0.014,0.656,7.692,3.493,3686.158,20.577,265.19,251.8952332,,,
-28.4653115.9164,-28.4653,115.916,0.036,0.014,0.531,6.976,4.493,3686.158,20.649,240.729,228.8523865,,,
-28.4008122.5678,-28.4008,122.568,0.03,0.013,0.712,6.813,6.3,1811.947,20.133,212.481,201.8809509,,,
-28.3847122.5853,-28.3847,122.585,0.03,0.014,0.676,6.293,7.793,1811.947,20.076,212.81,202.1952362,,,
-28.2272122.7319,-28.2272,122.732,0.027,0.015,0.689,5.498,6.3,1811.947,20.515,201.086,191.0381012,,,
-27.9183123.6158,-27.9183,123.616,0.034,0.018,0.626,13.353,10.107,1566.263,21.32,200.519,190.5142822,,,
-27.8986123.3783,-27.8986,123.378,0.031,0.014,0.605,7.191,10.437,1566.263,21.196,202.933,192.7857208,,,
-27.7348151.1395,-27.7348,151.14,0.081,0.024,1.401,9.571,16.037,8133.842,18.631,554.929,526.2333374,,,
-27.6319114.54,-27.6319,114.54,0.042,0.017,0.656,9.012,2.164,4011,20.518,263.21,250.0619049,,,
-27.5153.5,-27.5,153.5,0.069,0.017,2.383,5.08,13.93,13857.158,20.66,1329.862,1093.742798,,,
-27.0378125.2406,-27.0378,125.241,0.026,0.013,0.66,8.657,6.464,1460.632,21.847,226.41,215.0904846,,,
-27.0375125.2361,-27.0375,125.236,0.027,0.018,0.595,6.391,7.944,1460.632,21.847,226.41,215.0904846,,,
-27.0078126.2497,-27.0078,126.25,0.026,0.012,0.682,9.459,7.793,1460.632,22.103,231.781,220.2190552,,,
-27.0003126.2269,-27.0003,126.227,0.028,0.012,0.61,9.755,6.957,1460.632,22.103,231.781,220.2190552,,,
-26.9986125.5339,-26.9986,125.534,0.033,0.014,0.65,9.484,7.287,1105.684,22.171,227.471,216.0857086,,,
-26.9961125.5939,-26.9961,125.594,0.026,0.016,0.559,9.851,6.957,1105.684,22.323,226.148,214.8000031,,,
-26.9958125.5589,-26.9958,125.559,0.029,0.017,0.54,8.047,6.957,1105.684,22.292,225.495,214.2190399,,,
-26.985125.7014,-26.985,125.701,0.029,0.02,0.645,8.162,8.45,1105.684,22.172,233.01,221.3761902,,,
-26.9794126.0525,-26.9794,126.053,0.033,0.025,0.517,7.603,7.793,1105.684,22.144,230.4,218.9047546,,,
-26.9152.9,-26.9,152.9,0.152,0.041,2.579,7.831,8.944,13497.474,19.977,1294.229,1050.004761,,,
-26.5428126.4017,-26.5428,126.402,0.027,0.014,0.675,11.358,7.287,1105.684,22.611,239.595,227.638092,,,
-26.4433114.1681,-26.4433,114.168,0.042,0.035,0.617,12.24,6.643,2563.316,23.103,198.733,188.9285736,,,
-26.4272126.4128,-26.4272,126.413,0.031,0.012,0.617,8.242,7.45,1105.684,22.753,242.086,229.9571381,,,
-26.3678126.285,-26.3678,126.285,0.035,0.026,0.637,8.665,7.957,1105.684,22.666,247.581,235.180954,,,
-26.278134.999,-26.278,134.999,0.029,0.027,0.437,14.141,12.421,877.579,22.714,170.533,162.0047607,,,
